lm_prompt,references,lm_output_original,char_f1_original,exact_match_original,lm_output_finetuned,char_f1_finetuned,exact_match_finetuned
映画『ウエスト・サイド物語』に登場する2つの少年グループといえば、シャーク団と何団?答えは「,['ジェット団'],シャーク団,0.2,False,シャーク団,0.2,False
氷った海に穴を開けて漁をすることから、漢字で「氷の下の魚」と書くタラ科の魚は何?答えは「,['コマイ'],鱈,0.0,False,魚,0.0,False
アメリカとロシア間で結ばれた「戦略兵器削減条約」のことをアルファベット5文字の略称で何という?答えは「,"['START', '新START']",AUMF,0.22,False,核戦争の防止条約,0.0,False
リンゴが木から落ちる様子を見て「万有引力」を発見したといわれる、17世紀のイギリスの科学者は誰?答えは「,"['ニュートン', 'アイザック・ニュートン']",アレックス・ベリング,0.42,False,ジョン・ディクソン,0.22,False
聖武天皇の時代に栄えた、東大寺正倉院や唐招提寺金堂など、中国・唐の影響を強く受けた貴族文化を何という?答えは「,['天平文化'],唐代,0.0,False,唐人社会,0.0,False
アメリカ・メジャーリーグの2つのリーグといえば、ナショナルリーグと何リーグ?答えは「,"['アメリカンリーグ', 'アメリカン']",アメリカ・プロリーグ,0.8200000000000001,False,アメリカリーグ,0.93,False
池坊、草月流、小原流といえば、どんな分野の三大流派?答えは「,['華道'],漫画,0.0,False,水の流れ,0.0,False
英語で「取り巻く」という意味がある、前後左右から音が聞こえる立体音響を何という?答えは「,"['サラウンド', 'surround']",スペクトラム,0.18,False,リズム,0.0,False
半導体で、電荷を運ぶキャリアにホールが使われるのをP型半導体というのに対し、自由電子が使われるのを何型半導体という?答えは「,"['N型半導体', 'N型', 'N']",N型半導体,1.0,True,N型半導体,1.0,True
大根を使った料理「紫おろし」や「染めおろし」といえば、おろした大根に何をかけた料理?答えは「,['しょうゆ'],紫おろし,0.25,False,紫おろし,0.25,False
かつては自動車製造や重工業で発展したものの、近年衰退した、アメリカ五大湖から大西洋にいたる地域のことを、「さび付いた工業地帯」という意味の英語で「何ベルト」という?答えは「,"['ラストベルト', 'ラスト']",何ベルト,0.6000000000000001,False,貧困地域,0.0,False
将棋の駒の一大産地となっている山形県の市は何市?答えは「,"['天童市', '天童']",山形市,0.33,False,山形市,0.33,False
