lm_prompt,task_inputs,references,lm_output_original,exact_match_original,lm_output_finetuned,exact_match_finetuned
"正しい答えは何でしょう？

0.「川蜘蛛」
1.「足長蜘蛛」
2.「アヘアヘ」
3.「子守蜘蛛」
4.「アメマ」
問題：アメンボの別名は？
回答：「川蜘蛛」

0.「ファスナー」
1.「ファンデ」
2.「後ろ指」
3.「後ろ足」
4.「後ろ身頃」
問題：衣服の背中を覆う部分のことは？
回答：「後ろ身頃」

0.「掲示板」
1.「パソコン」
2.「マザーボード」
3.「ハードディスク」
4.「まな板」
問題：電子機器で使用される最も主要な電子回路基板の事をなんと言う？
回答：「","{'q_id': 8939, 'question': '電子機器で使用される最も主要な電子回路基板の事をなんと言う？', 'choice0': '掲示板', 'choice1': 'パソコン', 'choice2': 'マザーボード', 'choice3': 'ハードディスク', 'choice4': 'まな板', 'label': 2}",['マザーボード'],マザーボード,True,マザーボード,True
"正しい答えは何でしょう？

0.「スーツ」
1.「ニュージーランド」
2.「勉強」
3.「上着」
4.「ワイシャツ」
問題：子どもから大人まで様々な立場の人が日常的に着るものはどれ？
回答：「上着」

0.「ネコ」
1.「ディズニーランド」
2.「イヌ」
3.「玄関口」
4.「モーテル」
問題：家族が待っている、ホッと一息つける安心への入り口てなあに？
回答：「玄関口」

0.「畑」
1.「海」
2.「田園」
3.「地方」
4.「牧場」
問題：田んぼが広がる風景を何という？
回答：「","{'q_id': 8940, 'question': '田んぼが広がる風景を何という？', 'choice0': '畑', 'choice1': '海', 'choice2': '田園', 'choice3': '地方', 'choice4': '牧場', 'label': 2}",['田園'],田園,True,田園,True
"正しい答えは何でしょう？

0.「イラン」
1.「カナダ」
2.「アメリカ」
3.「地球」
4.「トルコ」
問題：イスタンブールがあるのは？
回答：「トルコ」

0.「鳥類」
1.「甲殻類」
2.「葦」
3.「両生類」
4.「魚類」
問題：一生を通じて鰭（ひれ）をもち、鰓（えら）で呼吸する動物を何という？
回答：「魚類」

0.「腰を下す」
1.「座る」
2.「仮眠を取る」
3.「寝る」
4.「起きる」
問題：しゃがんだりする様を何という？
回答：「","{'q_id': 8941, 'question': 'しゃがんだりする様を何という？', 'choice0': '腰を下す', 'choice1': '座る', 'choice2': '仮眠を取る', 'choice3': '寝る', 'choice4': '起きる', 'label': 0}",['腰を下す'],起きる,False,寝る,False
"正しい答えは何でしょう？

0.「テーブルクロス」
1.「洗濯」
2.「カーテン」
3.「カーペット」
4.「いたわる」
問題：食事のときに卓にかけて使う布は？
回答：「テーブルクロス」

0.「ホワイトボード」
1.「鉛筆」
2.「フラスコ」
3.「ビーカー」
4.「黒板」
問題：しろい板状の物は？
回答：「ホワイトボード」

0.「蛇口」
1.「ハンドル」
2.「流し」
3.「釘」
4.「食器棚」
問題：水を出すときに捻るものは？
回答：「","{'q_id': 8942, 'question': '水を出すときに捻るものは？', 'choice0': '蛇口', 'choice1': 'ハンドル', 'choice2': '流し', 'choice3': '釘', 'choice4': '食器棚', 'label': 0}",['蛇口'],流し,False,流し,False
"正しい答えは何でしょう？

0.「水筒」
1.「精を出す」
2.「魚を獲る」
3.「テレビ」
4.「跳躍」
問題：せの付く言葉は？
回答：「精を出す」

0.「鳥」
1.「とび」
2.「メジロ」
3.「ハンググライダー」
4.「ウグイス」
問題：人間が乗れるのは？
回答：「ハンググライダー」

0.「ディスコ」
1.「市長」
2.「イチゴ」
3.「ショッピングセンター」
4.「マンゴー」
問題：音楽にあわせて踊る場所は？
回答：「","{'q_id': 8943, 'question': '音楽にあわせて踊る場所は？', 'choice0': 'ディスコ', 'choice1': '市長', 'choice2': 'イチゴ', 'choice3': 'ショッピングセンター', 'choice4': 'マンゴー', 'label': 0}",['ディスコ'],ショッピングセンター,False,ディスコ,True
"正しい答えは何でしょう？

0.「語」
1.「ゴミ」
2.「雑草」
3.「方言」
4.「あいさつ」
問題：大切なのは?
回答：「あいさつ」

0.「スパイ」
1.「事務員」
2.「工作員」
3.「官僚」
4.「兵士」
問題：国家試験に合格し、中央省庁に勤めている人たちは？
回答：「官僚」

0.「麓」
1.「山頂」
2.「中腹」
3.「山腹」
4.「洞窟」
問題：地中にある一定の大きさの空間のこと？
回答：「","{'q_id': 8944, 'question': '地中にある一定の大きさの空間のこと？', 'choice0': '麓', 'choice1': '山頂', 'choice2': '中腹', 'choice3': '山腹', 'choice4': '洞窟', 'label': 4}",['洞窟'],洞窟,True,洞窟,True
"正しい答えは何でしょう？

0.「喉仏」
1.「エルサレム」
2.「風船ガム」
3.「ボールペン」
4.「メッセージカード」
問題：食べるのは？
回答：「風船ガム」

0.「水泳」
1.「じゃんけん」
2.「スキップ」
3.「運動する」
4.「潜水」
問題：人が行うにあたり、最も難しいとされるのはどれ？
回答：「潜水」

0.「外に出る」
1.「歩く」
2.「靴を脱ぐ」
3.「靴を履く」
4.「車から降りる」
問題：乗り物が関係する言葉はどれ？
回答：「","{'q_id': 8945, 'question': '乗り物が関係する言葉はどれ？', 'choice0': '外に出る', 'choice1': '歩く', 'choice2': '靴を脱ぐ', 'choice3': '靴を履く', 'choice4': '車から降りる', 'label': 4}",['車から降りる'],車,False,車から降りる,True
"正しい答えは何でしょう？

0.「林道」
1.「外」
2.「内弁慶」
3.「胴体の中」
4.「山」
問題：内の反対語は？
回答：「外」

0.「湖」
1.「ヨット」
2.「ボート」
3.「車」
4.「豪華客船」
問題：単なる乗り物にとどまらず、リッチな旅の楽しみを提供するのは？
回答：「豪華客船」

0.「コンピュータ」
1.「ロープ」
2.「ノートパソコン」
3.「携帯」
4.「軽食」
問題：持ち運び、使いまわりの良さに富んだパソコンをなんという？
回答：「","{'q_id': 8946, 'question': '持ち運び、使いまわりの良さに富んだパソコンをなんという？', 'choice0': 'コンピュータ', 'choice1': 'ロープ', 'choice2': 'ノートパソコン', 'choice3': '携帯', 'choice4': '軽食', 'label': 2}",['ノートパソコン'],ノートパソコン,True,ノートパソコン,True
"正しい答えは何でしょう？

0.「お尻」
1.「脾臓」
2.「腕」
3.「尻」
4.「腸」
問題：胃に続く消化管でヒトでは全長約9mある器官は？
回答：「腸」

0.「ローラースケート」
1.「タップダンス」
2.「外に出る」
3.「部屋に入ること」
4.「散歩」
問題：よく犬と一緒にすることは？
回答：「散歩」

0.「電話」
1.「食事」
2.「喫煙」
3.「仏」
4.「飲酒」
問題：タバコを吸う事を何と言う？
回答：「","{'q_id': 8947, 'question': 'タバコを吸う事を何と言う？', 'choice0': '電話', 'choice1': '食事', 'choice2': '喫煙', 'choice3': '仏', 'choice4': '飲酒', 'label': 2}",['喫煙'],喫煙,True,喫煙,True
"正しい答えは何でしょう？

0.「携帯電話」
1.「メモ帳」
2.「スマホ」
3.「学習帳」
4.「ノートパソコン」
問題：持ち歩けるパソコンは？
回答：「ノートパソコン」

0.「最後尾」
1.「面接」
2.「会議」
3.「ジム」
4.「ランチ」
問題：仕事において話し合いの場のことを何という？
回答：「会議」

0.「妨害運転」
1.「悲しい」
2.「かさぶたができる」
3.「危険運転」
4.「交通違反」
問題：スピードを超過して警察に捕まることといえば？
回答：「","{'q_id': 8948, 'question': 'スピードを超過して警察に捕まることといえば？', 'choice0': '妨害運転', 'choice1': '悲しい', 'choice2': 'かさぶたができる', 'choice3': '危険運転', 'choice4': '交通違反', 'label': 4}",['交通違反'],交通違反,True,交通違反,True
"正しい答えは何でしょう？

0.「遊山箱」
1.「病院」
2.「重箱」
3.「洗濯機」
4.「引き出し」
問題：家具などにとりつけられている、抜き差しできる箱のことを何と言いますか？
回答：「引き出し」

0.「寝所」
1.「押入れ」
2.「ハウス」
3.「パソコン」
4.「市役所」
問題：物をしまっておく場所のことを何という？
回答：「押入れ」

0.「ムーブメント」
1.「ナット」
2.「動作」
3.「ボルト」
4.「バネ」
問題：伸び縮するものは？
回答：「","{'q_id': 8949, 'question': '伸び縮するものは？', 'choice0': 'ムーブメント', 'choice1': 'ナット', 'choice2': '動作', 'choice3': 'ボルト', 'choice4': 'バネ', 'label': 4}",['バネ'],ボルト,False,動作,False
"正しい答えは何でしょう？

0.「銃砲」
1.「刀」
2.「煙」
3.「鉛筆」
4.「森林火災」
問題：長崎に伝来したものは？
回答：「銃砲」

0.「計算」
1.「番組」
2.「マザーボード」
3.「半導体」
4.「照明」
問題：カタカナは？
回答：「マザーボード」

0.「お皿」
1.「料理」
2.「コック」
3.「ネズミ」
4.「ドア」
問題：生活用品としても利用し、美術品としても取り扱われている物は？
回答：「","{'q_id': 8950, 'question': '生活用品としても利用し、美術品としても取り扱われている物は？', 'choice0': 'お皿', 'choice1': '料理', 'choice2': 'コック', 'choice3': 'ネズミ', 'choice4': 'ドア', 'label': 0}",['お皿'],紙,False,生活用品としても利用し、美術品としても取り扱われている物,False
"正しい答えは何でしょう？

0.「ＣＤ」
1.「電子ピアノ」
2.「ヴァイオリン」
3.「マイク」
4.「テープ」
問題：直接音を発するのはどれ？
回答：「ヴァイオリン」

0.「患者」
1.「ジャージ」
2.「スーツ」
3.「レントゲン」
4.「白衣」
問題：医師や看護師が来ている服を何という？
回答：「白衣」

0.「お金を持っていく」
1.「本を注文する」
2.「読書する」
3.「風」
4.「雨」
問題：買い物に必ず必要なのは？
回答：「","{'q_id': 8951, 'question': '買い物に必ず必要なのは？', 'choice0': 'お金を持っていく', 'choice1': '本を注文する', 'choice2': '読書する', 'choice3': '風', 'choice4': '雨', 'label': 0}",['お金を持っていく'],お金を持っていく,True,お金を持っていく,True
"正しい答えは何でしょう？

0.「森林」
1.「池」
2.「公園」
3.「熱帯雨林」
4.「裏庭」
問題：住宅がある敷地において奥の庭は何？
回答：「裏庭」

0.「飛行機」
1.「機関車」
2.「雨」
3.「切手」
4.「荷物」
問題：旅行の準備で確認することで、帰りにおみやげを買うと増えるものはなんでしょう？
回答：「荷物」

0.「ハンドバッグ」
1.「キャビネット」
2.「ポーチ」
3.「リュック」
4.「玄関口」
問題：手に下げる鞄のことを何という？
回答：「","{'q_id': 8952, 'question': '手に下げる鞄のことを何という？', 'choice0': 'ハンドバッグ', 'choice1': 'キャビネット', 'choice2': 'ポーチ', 'choice3': 'リュック', 'choice4': '玄関口', 'label': 0}",['ハンドバッグ'],ハンドバッグ,True,ハンドバッグ,True
"正しい答えは何でしょう？

0.「自衛隊」
1.「部下」
2.「医師」
3.「教師」
4.「政治家」
問題：日本の防衛を守ってくれる隊員は何という？
回答：「自衛隊」

0.「倒す」
1.「舐める」
2.「戦争」
3.「殺す」
4.「なぶる」
問題：蚊は見つけたらどうする？
回答：「殺す」

0.「工具箱」
1.「ケーブル」
2.「たぬき」
3.「ウサギ」
4.「虫」
問題：夏に多く発生する生物は？
回答：「","{'q_id': 8953, 'question': '夏に多く発生する生物は？', 'choice0': '工具箱', 'choice1': 'ケーブル', 'choice2': 'たぬき', 'choice3': 'ウサギ', 'choice4': '虫', 'label': 4}",['虫'],蚊,False,ウサギ,False
"正しい答えは何でしょう？

0.「音響」
1.「練習」
2.「足音」
3.「伝音器」
4.「楽器」
問題：次のうち、バランスが難しいのはどれ？
回答：「音響」

0.「前室」
1.「休息所」
2.「オッパッピー」
3.「砂かぶり」
4.「ロビー」
問題：コンサートで出演者が待機するところは？
回答：「前室」

0.「感情」
1.「部下」
2.「友情」
3.「自衛隊」
4.「情報」
問題：親しい人との人間関係を何という？
回答：「","{'q_id': 8954, 'question': '親しい人との人間関係を何という？', 'choice0': '感情', 'choice1': '部下', 'choice2': '友情', 'choice3': '自衛隊', 'choice4': '情報', 'label': 2}",['友情'],友情,True,友情,True
"正しい答えは何でしょう？

0.「ベッド」
1.「飛行場」
2.「アイロン台」
3.「車」
4.「店」
問題：布団を乗せるのは？
回答：「ベッド」

0.「カード」
1.「時計」
2.「フラッシュメモリ」
3.「ネズミ」
4.「ドア」
問題：時刻を知ることができる機械は何？
回答：「時計」

0.「ウィンカー」
1.「ブレーキ」
2.「座席」
3.「マフラー」
4.「踏切」
問題：曲がる時の合図は？
回答：「","{'q_id': 8955, 'question': '曲がる時の合図は？', 'choice0': 'ウィンカー', 'choice1': 'ブレーキ', 'choice2': '座席', 'choice3': 'マフラー', 'choice4': '踏切', 'label': 0}",['ウィンカー'],ウィンカー,True,ウィンカー,True
"正しい答えは何でしょう？

0.「迷信深い」
1.「愛情深い」
2.「にこやか」
3.「疑り深い」
4.「読み聞かせ」
問題：迷信を信じやすいことをなんと言う？
回答：「迷信深い」

0.「男女」
1.「彼の」
2.「彼女」
3.「彼人」
4.「彼奴」
問題：あいつを漢字で書くと？
回答：「彼奴」

0.「ビル」
1.「プレート」
2.「塹壕」
3.「教会」
4.「出雲大社」
問題：この3つの中で鉄筋コンクリートで作られる中高層の建築物の名称は？
回答：「","{'q_id': 8956, 'question': 'この3つの中で鉄筋コンクリートで作られる中高層の建築物の名称は？', 'choice0': 'ビル', 'choice1': 'プレート', 'choice2': '塹壕', 'choice3': '教会', 'choice4': '出雲大社', 'label': 0}",['ビル'],プレート,False,プレート,False
"正しい答えは何でしょう？

0.「人々」
1.「犯罪」
2.「罪」
3.「サッカー」
4.「暴言」
問題：礼を失した乱暴な言葉。無礼で、むちゃな発言を何という？
回答：「暴言」

0.「作業」
1.「事務」
2.「業務」
3.「工事」
4.「字幕」
問題：日常生活をスムーズに送るための応用的動作のリハビリテーションを行う仕事をしているのは、なに療法士？
回答：「作業」

0.「料理」
1.「スープ」
2.「朝食」
3.「ミーム」
4.「解体」
問題：汁もを英語で表現すると何？
回答：「","{'q_id': 8957, 'question': '汁もを英語で表現すると何？', 'choice0': '料理', 'choice1': 'スープ', 'choice2': '朝食', 'choice3': 'ミーム', 'choice4': '解体', 'label': 1}",['スープ'],スープ,True,料理,False
"正しい答えは何でしょう？

0.「穴」
1.「タヌキ」
2.「猫」
3.「出入り口」
4.「キツネ」
問題：犬かどっち派ですか？
回答：「猫」

0.「便器」
1.「ソープディッシュ」
2.「米国」
3.「バスタブ」
4.「シンク」
問題：台所にあるのは？
回答：「シンク」

0.「ボール」
1.「物体」
2.「テーブル」
3.「お金」
4.「写真」
問題：卓、台、表などの意味を持つのは？
回答：「","{'q_id': 8958, 'question': '卓、台、表などの意味を持つのは？', 'choice0': 'ボール', 'choice1': '物体', 'choice2': 'テーブル', 'choice3': 'お金', 'choice4': '写真', 'label': 2}",['テーブル'],台,False,卓,False
